Insert_Variable, http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Finsert_variable&_action=EXECUTE&name=F_test&description=Test%F&type=FACTOR&account_num=&formula=_115
Update_Variable,http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Fupdate_variable&_action=EXECUTE&variable_sk=2402&name=&description=Modified&type=&account_num=12345asdf&formula=_121
Cal_Time_Series, http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Fcalc_factor_time_series&_action=EXECUTE&variable_list=136%20137&start_dt=01JAN2010&end_dt=28MAR2017&freq=month
Fator_Corr, http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Ffactor_correlations&_action=EXECUTE&variable_list=146%20131&start_dt=01JAN2010&end_dt=28MAR2017&freq=month
Fit_Model_Save,http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Ffit_model&_action=EXECUTE&start_dt=01MAY2010&end_dt=30APR2017&freq=MONTH&fund=146&factor=127&factor=128&factor=129&restrict=.&restrict=.&restrict=.&model_sk=
Fit_Model_Update,http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Ffit_model&_action=EXECUTE&start_dt=01MAY2010&end_dt=30APR2017&freq=MONTH&fund=146&factor=127&factor=128&factor=129&restrict=.&restrict=.&restrict=.&model_sk=74
Get_Models, http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Fget_models&_action=EXECUTE&model_list=74%2073
Get_Time_Series,http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Fget_time_series&_action=EXECUTE&variable_list=137%20136&start_dt=01JAN2010&end_dt=28MAR2017&freq=month
List_Models,http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Flist_models&_action=EXECUTE&variable_list=146%20117&model_List=73
List_Variables,http://app-dev.vor.frgrisk.com:7980/SASStoredProcess/do?_username=webrunner@saspw&_password=AsdF!23$&_program=%2FSystem%2FApplications%2FVOR+System%2FCommon%2Fstps%2FFactorModel%2Flist_variables&_action=EXECUTE&typeList=fund%20index
